first_name,last_name,position,position_alt,injury_status,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Cason,Wallace,PG,SG,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3700,11,9.5,15.7,25.0,17.0,4.59
Aaron,Wiggins,SF,PF,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3600,30,11.8,16.4,21.0,16.8,4.65
Matisse,Thybulle,SG,SF,,2024-02-04,,POR,DEN,+13.5,221,103.8,3700,8,4.3,11.1,16.3,16.5,4.46
Kyle,Anderson,SF,PF,,2024-02-04,,MIN,HOU,,,,3500,18,10.8,14.6,19.3,16.3,4.64
Gradey,Dick,SG,SF,,2024-02-04,,TOR,OKC,+9.5,235.5,113,3600,15,3.3,15.3,28.3,16.3,4.51
Payton,Pritchard,PG,,,2024-02-04,,BOS,MEM,-17,221,119,3500,22,7.0,14.7,21.5,16.3,4.64
Kevin,Love,C,,,2024-02-04,,MIA,LAC,+3.5,226,111.3,3600,10,1.3,12.9,30.5,16.3,4.51
Cameron,Payne,PG,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3600,19,4.3,11.8,26.5,15.8,4.38
Bryce,McGowens,SF,,,2024-02-04,,CHA,IND,,,,3700,22,1.3,11.4,32.3,15.8,4.26
DeAndre,Jordan,C,,,2024-02-04,,DEN,POR,-13.5,221,117.3,3700,24,3.3,7.9,11.5,15.8,4.26
Ish,Smith,PG,,,2024-02-04,,CHA,IND,,,,3600,8,4.5,10.6,23.8,15.5,4.31
Kenrich,Williams,PF,C,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3500,13,5.3,10.6,14.8,15.5,4.43
Jaylin,Williams,C,,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3300,22,11.0,15.1,19.5,15.5,4.70
Haywood,Highsmith,PF,,,2024-02-04,,MIA,LAC,+3.5,226,111.3,3500,2,5.5,12.2,21.0,15.5,4.43
Neemias,Queta,C,,,2024-02-04,,BOS,MEM,-17,221,119,3400,20,3.3,12.4,19.8,15.3,4.49
Aaron,Holiday,PG,,,2024-02-04,,HOU,MIN,,,,3400,3,2.8,12.5,21.8,15.3,4.49
Pat,Connaughton,SG,SF,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3400,29,2.8,10.7,16.8,15.0,4.41
Nick,Smith Jr.,PG,SF,,2024-02-04,,CHA,IND,,,,3300,8,7.0,10.8,15.5,14.8,4.47
Leaky,Black,PF,,,2024-02-04,,CHA,IND,,,,3400,30,3.0,7.9,16.8,14.5,4.26
Matt,Hurt,PF,C,,2024-02-04,,MEM,BOS,+17,221,102,3300,10,0.0,7.5,15.0,14.3,4.32
Marjon,Beauchamp,SG,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3300,29,2.8,9.2,16.5,14.3,4.32
Jordan,McLaughlin,PG,,,2024-02-04,,MIN,HOU,,,,3100,1,2.3,9.4,17.3,13.8,4.44
Christian,Braun,SG,SF,,2024-02-04,,DEN,POR,-13.5,221,117.3,3100,21,4.0,8.9,19.3,13.5,4.35
Ben,Sheppard,SG,,,2024-02-04,,IND,CHA,,,,3100,17,2.5,9.6,19.5,13.5,4.35
Jae'Sean,Tate,SF,PF,,2024-02-04,,HOU,MIN,,,,3000,7,2.8,8.8,14.8,13.3,4.42
Ousmane,Dieng,PF,,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3100,13,-0.5,6.1,19.5,13.3,4.27
Ochai,Agbaji,SG,SF,,2024-02-04,,UTA,MIL,-1,247.5,124.3,3000,1,2.3,8.3,14.8,13.0,4.33
Oshae,Brissett,SF,PF,,2024-02-04,,BOS,MEM,-17,221,119,3000,27,1.3,5.8,13.8,12.8,4.25
Lindy,Waters III,SG,SF,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3000,28,0.0,4.6,13.8,12.5,4.17
Justin,Holiday,SG,SF,,2024-02-04,,DEN,POR,-13.5,221,117.3,3000,21,0.0,4.3,10.8,12.5,4.17
Jalen,McDaniels,SF,PF,,2024-02-04,,TOR,OKC,+9.5,235.5,113,3000,10,0.0,4.8,17.3,12.5,4.17
Jermaine,Samuels,PF,,,2024-02-04,,HOU,MIN,,,,3000,7,0.0,2.8,9.3,12.3,4.08
Nate,Hinton,SG,,,2024-02-04,,HOU,MIN,,,,3000,2,0.0,4.0,8.8,12.3,4.08
Ibou,Badji,C,,,2024-02-04,,POR,DEN,+13.5,221,103.8,3300,17,,,,12.3,3.71
Garrett,Temple,SG,,,2024-02-04,,TOR,OKC,+9.5,235.5,113,3000,15,0.0,2.0,4.5,12.0,4.00
Kobe,Brown,PF,,,2024-02-04,,LAC,MIA,-3.5,226,114.8,3000,15,0.0,2.0,5.3,12.0,4.00
Vasilije,Micic,PG,,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3200,11,0.8,8.6,21.5,9.3,2.89
Jarace,Walker,PF,,,2024-02-04,,IND,CHA,,,,3000,18,1.5,16.3,31.5,8.5,2.83
Brandon,Boston Jr.,SG,,,2024-02-04,,LAC,MIA,-3.5,226,114.8,3200,13,-0.5,6.5,21.8,7.5,2.34
Jeff,Green,PF,C,,2024-02-04,,HOU,MIN,,,,3200,7,1.3,5.7,14.3,7.0,2.19
Reggie,Bullock Jr.,SG,SF,,2024-02-04,,HOU,MIN,,,,3000,2,6.8,8.9,11.5,6.5,2.17
JT,Thor,PF,C,,2024-02-04,,CHA,IND,,,,3000,30,2.3,7.5,14.8,6.0,2.00
AJ,Green,PG,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3000,19,0.0,7.0,17.5,6.0,2.00
Dalano,Banton,PG,SF,,2024-02-04,,BOS,MEM,-17,221,119,3000,22,3.5,7.1,16.3,5.8,1.92
Aleksej,Pokusevski,PF,C,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3000,13,0.0,5.5,15.3,5.5,1.83
TyTy,Washington Jr.,PG,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3000,19,1.3,5.4,16.8,5.3,1.75
Boban,Marjanovic,C,,,2024-02-04,,HOU,MIN,,,,3000,11,0.0,5.7,10.5,5.3,1.75
Justin,Minaya,SG,,,2024-02-04,,POR,DEN,+13.5,221,103.8,3000,8,0.0,4.6,10.5,4.8,1.58
James,Bouknight,PG,SG,,2024-02-04,,CHA,IND,,,,3000,8,0.0,4.1,7.0,4.8,1.58
Collin,Gillespie,PG,,,2024-02-04,,DEN,POR,-13.5,221,117.3,3000,27,-0.5,3.2,11.3,4.5,1.50
Braxton,Key,PF,,,2024-02-04,,DEN,POR,-13.5,221,117.3,3000,8,-0.5,3.4,7.5,4.5,1.50
Kris,Murray,SF,PF,,2024-02-04,,POR,DEN,+13.5,221,103.8,3000,2,3.3,5.0,7.8,4.5,1.50
Chris,Livingston,PF,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3000,22,0.0,3.6,10.0,4.5,1.50
Thanasis,Antetokounmpo,PF,C,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3000,22,-0.5,2.5,9.8,4.3,1.42
Olivier,Sarr,C,,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3000,22,0.0,3.6,9.5,4.3,1.42
Omer,Yurtseven,C,,,2024-02-04,,UTA,MIL,-1,247.5,124.3,3000,28,0.0,2.9,9.0,4.3,1.42
Keyontae,Johnson,SF,,,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3000,30,-0.5,2.3,8.0,4.0,1.33
Robin,Lopez,C,,,2024-02-04,,MIL,UTA,+1,247.5,123.3,3000,23,0.0,1.5,4.8,3.8,1.25
Jay,Huff,C,,,2024-02-04,,DEN,POR,-13.5,221,117.3,3000,24,0.0,2.0,3.5,3.5,1.17
Jalen,Williams,PF,,O,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,7000,13,26.8,31.0,35.5,0.0,0.00
LaMelo,Ball,PG,,O,2024-02-04,,CHA,IND,,,,9400,8,33.0,43.1,52.5,0.0,0.00
Markquis,Nowell,PG,,O,2024-02-04,,TOR,OKC,+9.5,235.5,113,3000,14,9.5,9.5,9.5,0.0,0.00
Duncan,Robinson,SG,SF,O,2024-02-04,,MIA,LAC,+3.5,226,111.3,4100,23,0.0,11.7,27.8,0.0,0.00
Kyle,Lowry,PG,,O,2024-02-04,,CHA,IND,,,,4100,8,10.5,13.5,16.0,0.0,0.00
Ziaire,Williams,SG,SF,O,2024-02-04,,MEM,BOS,+17,221,102,3800,5,10.5,16.1,33.5,0.0,0.00
Jake,LaRavia,SF,,O,2024-02-04,,MEM,BOS,+17,221,102,3000,8,1.3,7.0,21.5,0.0,0.00
Isaiah,Joe,SG,SF,O,2024-02-04,,OKC,TOR,-9.5,235.5,122.5,3500,28,4.8,9.4,13.8,0.0,0.00
Jaren,Jackson Jr.,PF,C,O,2024-02-04,,MEM,BOS,+17,221,102,8100,10,27.3,40.8,46.0,0.0,0.00
Tari,Eason,SF,PF,O,2024-02-04,,HOU,MIN,,,,5500,7,17.0,27.8,37.3,0.0,0.00
Dru,Smith,PG,,O,2024-02-04,,MIA,LAC,+3.5,226,111.3,3000,5,0.0,9.5,22.0,0.0,0.00
Ja,Morant,PG,,O,2024-02-04,,MEM,BOS,+17,221,102,3000,21,26.3,43.4,54.0,0.0,0.00
Jontay,Porter,C,,O,2024-02-04,,TOR,OKC,+9.5,235.5,113,3800,8,4.5,12.6,30.8,0.0,0.00
Moussa,Diabate,C,,O,2024-02-04,,LAC,MIA,-3.5,226,114.8,3000,2,1.3,4.4,7.5,0.0,0.00
Andre,Jackson Jr.,PG,SF,O,2024-02-04,,MIL,UTA,+1,247.5,123.3,3100,19,0.0,10.1,15.5,0.0,0.00
Desmond,Bane,PG,,O,2024-02-04,,MEM,BOS,+17,221,102,3000,21,24.3,41.6,54.3,0.0,0.00
Brandon,Clarke,C,,O,2024-02-04,,MEM,BOS,+17,221,102,3000,5,2.3,13.9,19.8,0.0,0.00
Steven,Adams,C,,O,2024-02-04,,HOU,MIN,,,,3000,11,21.8,32.7,43.3,0.0,0.00
Marcus,Smart,PG,SG,O,2024-02-04,,MEM,BOS,+17,221,102,3000,21,10.5,31.0,50.0,0.0,0.00
Victor,Oladipo,PG,,O,2024-02-04,,MEM,BOS,+17,221,102,3000,21,17.5,28.1,45.3,0.0,0.00
Brook,Lopez,C,,O,2024-02-04,,MIL,UTA,+1,247.5,123.3,6300,23,27.3,31.7,36.5,0.0,0.00
Robert,Williams,PF,C,O,2024-02-04,,POR,DEN,+13.5,221,103.8,3000,17,8.3,19.0,26.0,0.0,0.00
Vlatko,Cancar,PF,,O,2024-02-04,,DEN,POR,-13.5,221,117.3,3000,8,0.0,1.1,1.5,0.0,0.00
Moses,Brown,C,,O,2024-02-04,,POR,DEN,+13.5,221,103.8,3000,17,1.3,9.7,17.3,0.0,0.00
